year,SocialSecurity,Medicare,Medicaid,IncomeSecurity,FederalCivilianAndMilitaryRetirement,VeteransPrograms,OtherPrograms,Defense,Nondefense,Interest
1962,14,0,0,6,3,5,7,53,20,7
1963,15,0,0,6,3,5,6,54,22,8
1964,16,0,0,6,4,5,8,55,24,8
1965,17,0,0,5,4,5,8,51,27,9
1966,20,0,1,5,5,5,8,59,31,9
1967,21,0,1,5,5,5,10,72,34,10
1968,23,0,2,6,6,6,12,82,36,11
1969,27,0,2,6,6,6,10,83,35,13
1970,30,0,3,8,7,7,11,82,38,14
1971,35,0,3,13,9,8,10,79,44,15
1972,39,0,5,16,10,9,13,79,49,15
1973,48,0,5,14,12,10,17,77,53,17
1974,55,0,6,17,15,11,17,81,57,21
1975,64,0,7,29,19,13,24,88,70,23
1976,73,0,9,38,20,14,19,90,86,27
1977,84,0,10,35,23,13,19,98,100,30
1978,92,1,11,32,25,14,29,105,114,35
1979,103,3,12,32,29,14,29,117,123,43
1980,117,5,14,44,34,15,34,135,142,53
1981,138,3,17,50,39,16,39,158,150,69
1982,154,13,17,53,43,16,38,186,140,85
1983,169,10,19,64,45,16,42,210,143,90
1984,176,17,20,52,47,16,33,228,151,111
1985,186,23,23,52,46,16,55,253,163,129
1986,197,28,25,54,48,17,48,274,165,136
1987,205,27,27,55,51,16,39,283,162,139
1988,217,29,30,57,54,18,43,291,173,152
1989,230,33,35,63,57,18,50,304,185,169
1990,246,50,41,69,60,16,86,300,200,184
1991,267,9,53,87,64,18,99,320,214,194
1992,285,60,68,111,66,19,39,303,231,199
1993,302,77,76,117,68,20,10,292,247,199
1994,317,91,82,116,72,21,18,282,259,203
1995,333,98,89,117,75,21,5,274,271,232
1996,347,120,92,122,77,20,8,266,267,241
1997,362,122,96,122,81,22,5,272,275,244
1998,376,127,101,122,83,24,26,270,282,241
1999,387,130,108,129,85,25,36,275,297,230
2000,406,135,118,134,88,27,44,295,320,223
2001,429,149,129,143,93,23,41,306,343,206
2002,452,163,148,180,96,28,39,349,385,171
2003,470,173,161,196,100,32,50,405,419,153
2004,492,188,176,191,104,32,56,454,441,160
2005,519,206,182,197,110,40,66,494,475,184
2006,544,233,181,200,113,38,103,520,497,227
2007,581,258,191,203,122,38,56,548,494,237
2008,612,271,201,261,129,45,77,612,522,253
2009,678,305,251,350,138,50,322,657,581,187
2010,701,324,273,437,138,58,-18,689,658,196
2011,725,351,275,404,144,71,56,699,648,230
2012,768,323,251,354,144,68,124,671,605,220
2013,808,281,265,340,153,80,105,626,577,221
2014,845,322,301,311,158,87,74,596,582,229
2015,882,376,350,301,161,92,134,583,589,223
2016,910,455,368,304,164,107,120,585,600,240
2017,939,449,375,294,163,105,195,590,610,263
2018,982,445,389,285,163,101,157,623,639,325
2019,1038,500,409,303,170,115,199,676,661,375
2020,1090,635,458,1052,171,122,1051,714,914,345
