Year,SocialSecurity,Medicare,Medicaid,IncomeSecurity,FederalCivilianAndMilitaryRetirement,VeteransPrograms,OtherPrograms,Defense,Nondefense,Interest,,,,,,
1962,14.047,0,0.103,6.103,3.027429,4.634272,6.772,52.55,19.525,6.889,,,,,,
1970,29.647,0,2.727,8.176,7.232564,7.024876,10.915,81.912,38.342,14.38,,,,,,
1980,117.053,4.838,13.957,44.303,33.686085,14.618798,33.628,134.629,141.694,52.533,,,,,,
1990,246.495,49.51,41.103,68.749,59.974,16.469,85.768,300.141,200.437,184.347,,,,,,
2000,406.048,134.908,117.921,133.939,87.823,27.058,43.678,294.965,319.661,222.949,,,,,,
2010,700.752,324.011,272.771,437.291,138.384,58.268,-17.758,688.854,658.312,196.194,,,,,,
2020,1089.827,635.037,458.469,1052.093,171.215,121.746,1050.894,713.75,914.124,344.717,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,1962,1970,1980,1990,2000,2010,2020,,,,,,,,
,SocialSecurity,14.047,29.647,117.053,246.495,406.048,700.752,1089.827,,"{group: 'SocialSecurity', value: 14.047},","{group: '14.047', value: 29.647},","{group: '29.647', value: 117.053},","{group: '117.053', value: 246.495},","{group: '246.495', value: 406.048},","{group: '406.048', value: 700.752},","{group: '700.752', value: 1089.827},"
,Medicare,0,0,4.838,49.51,134.908,324.011,635.037,,"{group: 'Medicare', value: 0},","{group: '0', value: 0},","{group: '0', value: 4.838},","{group: '4.838', value: 49.51},","{group: '49.51', value: 134.908},","{group: '134.908', value: 324.011},","{group: '324.011', value: 635.037},"
,Medicaid,0.103,2.727,13.957,41.103,117.921,272.771,458.469,,"{group: 'Medicaid', value: 0.103},","{group: '0.103', value: 2.727},","{group: '2.727', value: 13.957},","{group: '13.957', value: 41.103},","{group: '41.103', value: 117.921},","{group: '117.921', value: 272.771},","{group: '272.771', value: 458.469},"
,IncomeSecurity,6.103,8.176,44.303,68.749,133.939,437.291,1052.093,,"{group: 'IncomeSecurity', value: 6.103},","{group: '6.103', value: 8.176},","{group: '8.176', value: 44.303},","{group: '44.303', value: 68.749},","{group: '68.749', value: 133.939},","{group: '133.939', value: 437.291},","{group: '437.291', value: 1052.093},"
,FederalCivilianAndMilitaryRetirement,3.027429,7.232564,33.686085,59.974,87.823,138.384,171.215,,"{group: 'FederalCivilianAndMilitaryRetirement', value: 3.027429},","{group: '3.027429', value: 7.232564},","{group: '7.232564', value: 33.686085},","{group: '33.686085', value: 59.974},","{group: '59.974', value: 87.823},","{group: '87.823', value: 138.384},","{group: '138.384', value: 171.215},"
,VeteransPrograms,4.634272,7.024876,14.618798,16.469,27.058,58.268,121.746,,"{group: 'VeteransPrograms', value: 4.634272},","{group: '4.634272', value: 7.024876},","{group: '7.024876', value: 14.618798},","{group: '14.618798', value: 16.469},","{group: '16.469', value: 27.058},","{group: '27.058', value: 58.268},","{group: '58.268', value: 121.746},"
,OtherPrograms,6.772,10.915,33.628,85.768,43.678,-17.758,1050.894,,"{group: 'OtherPrograms', value: 6.772},","{group: '6.772', value: 10.915},","{group: '10.915', value: 33.628},","{group: '33.628', value: 85.768},","{group: '85.768', value: 43.678},","{group: '43.678', value: -17.758},","{group: '-17.758', value: 1050.894},"
,Defense,52.55,81.912,134.629,300.141,294.965,688.854,713.75,,"{group: 'Defense', value: 52.55},","{group: '52.55', value: 81.912},","{group: '81.912', value: 134.629},","{group: '134.629', value: 300.141},","{group: '300.141', value: 294.965},","{group: '294.965', value: 688.854},","{group: '688.854', value: 713.75},"
,Nondefense,19.525,38.342,141.694,200.437,319.661,658.312,914.124,,"{group: 'Nondefense', value: 19.525},","{group: '19.525', value: 38.342},","{group: '38.342', value: 141.694},","{group: '141.694', value: 200.437},","{group: '200.437', value: 319.661},","{group: '319.661', value: 658.312},","{group: '658.312', value: 914.124},"
,Interest,6.889,14.38,52.533,184.347,222.949,196.194,344.717,,"{group: 'Interest', value: 6.889},","{group: '6.889', value: 14.38},","{group: '14.38', value: 52.533},","{group: '52.533', value: 184.347},","{group: '184.347', value: 222.949},","{group: '222.949', value: 196.194},","{group: '196.194', value: 344.717},"
