date,TotalBudget
1/1/62,106.821
1/1/63,111.316
1/1/64,118.528
1/1/65,118.228
1/1/66,134.532
1/1/67,157.464
1/1/68,178.134
1/1/69,183.64
1/1/70,195.649
1/1/71,210.172
1/1/72,230.681
1/1/73,245.707
1/1/74,269.359
1/1/75,332.332
1/1/76,371.792
1/1/77,409.218
1/1/78,458.746
1/1/79,504.028
1/1/80,590.941
1/1/81,678.241
1/1/82,745.743
1/1/83,808.364
1/1/84,851.805
1/1/85,946.344
1/1/86,990.382
1/1/87,1004.017
1/1/88,1064.416
1/1/89,1143.743
1/1/90,1252.993
1/1/91,1324.226
1/1/92,1381.529
1/1/93,1409.386
1/1/94,1461.752
1/1/95,1515.742
1/1/96,1560.484
1/1/97,1601.116
1/1/98,1652.458
1/1/99,1701.842
1/1/00,1788.95
1/1/01,1862.846
1/1/02,2010.894
1/1/03,2159.899
1/1/04,2292.841
1/1/05,2471.957
1/1/06,2655.05
1/1/07,2728.686
1/1/08,2982.544
1/1/09,3517.677
1/1/10,3457.079
1/1/11,3603.065
1/1/12,3526.563
1/1/13,3454.881
1/1/14,3506.284
1/1/15,3691.85
1/1/16,3852.616
1/1/17,3981.63
1/1/18,4109.044
1/1/19,4446.956
1/1/20,6551.872
